,t,x,y,etype,priority_s,id,F1-0-x,F1-0-y,F1-1-x,F1-1-y,F2-2-x,F2-2-y,F2-3-x,F2-3-y,P1-4-x,P1-4-y,P1-5-x,P1-5-y,P2-6-x,P2-6-y,P2-7-x,P2-7-y,H1-8-x,H1-8-y,H1-9-x,H1-9-y,H2-10-x,H2-10-y,H2-11-x,H2-11-y,points,done
85,438.3793142687576,185.11503309981651,107.6903994185584,medical,600,85,20,20,20,20,180,20,180,20,50,100,50,100,150,120,150,120,100,30,100,30,100,170,100,170,0,
419,1343.030908728104,110.07051315592334,185.8199360339956,police,300,419,20,20,20,20,185.11503309981651,107.6903994185584,180,20,50,100,50,100,150,120,150,120,100,30,100,30,100,170,100,170,5,
425,2402.0500700418643,113.59237373289908,21.4601381547076,police,120,425,20,20,20,20,185.11503309981651,107.6903994185584,180,20,50,100,50,100,150,120,150,120,100,30,100,30,110.07051315592334,185.8199360339956,100,170,17,
498,2449.484751950656,34.276715044209524,99.9716786225584,police,300,498,20,20,20,20,185.11503309981651,107.6903994185584,180,20,50,100,50,100,150,120,150,120,113.59237373289908,21.4601381547076,100,30,110.07051315592334,185.8199360339956,100,170,16,
434,2964.142303128343,130.73667341403973,138.55371808454777,fire,120,434,20,20,20,20,185.11503309981651,107.6903994185584,180,20,34.276715044209524,99.9716786225584,50,100,150,120,150,120,113.59237373289908,21.4601381547076,100,30,110.07051315592334,185.8199360339956,100,170,19,
110,5062.683186418869,176.13133455156472,115.13806936201604,police,60,110,20,20,20,20,130.73667341403973,138.55371808454777,180,20,34.276715044209524,99.9716786225584,50,100,150,120,150,120,113.59237373289908,21.4601381547076,100,30,110.07051315592334,185.8199360339956,100,170,51,
36,5452.080193829662,110.78430448489596,117.6880228820702,fire,30,36,20,20,20,20,130.73667341403973,138.55371808454777,180,20,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,100,30,110.07051315592334,185.8199360339956,100,170,56,
208,5686.7437651992495,166.0075122985688,79.16114818227346,fire,120,208,20,20,20,20,110.78430448489596,117.6880228820702,180,20,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,100,30,110.07051315592334,185.8199360339956,100,170,59,
361,6812.819748702467,110.804287451919,73.78223310024414,medical,60,361,20,20,20,20,110.78430448489596,117.6880228820702,166.0075122985688,79.16114818227346,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,100,30,110.07051315592334,185.8199360339956,100,170,75,
3,6878.123342057452,39.7675301373297,129.97688755590465,medical,120,3,20,20,20,20,110.804287451919,73.78223310024414,166.0075122985688,79.16114818227346,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,100,30,110.07051315592334,185.8199360339956,100,170,75,
375,7850.1049123068415,177.79937628979087,109.11549670945352,medical,120,375,20,20,20,20,110.804287451919,73.78223310024414,166.0075122985688,79.16114818227346,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,100,30,110.07051315592334,185.8199360339956,39.7675301373297,129.97688755590465,89,
449,8225.678569182086,81.77338716384965,153.79441251669655,medical,600,449,20,20,20,20,110.804287451919,73.78223310024414,177.79937628979087,109.11549670945352,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,100,30,110.07051315592334,185.8199360339956,39.7675301373297,129.97688755590465,93,
55,10301.03886532549,16.396681098975098,131.4746328945045,medical,600,55,20,20,20,20,110.804287451919,73.78223310024414,177.79937628979087,109.11549670945352,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,100,30,81.77338716384965,153.79441251669655,39.7675301373297,129.97688755590465,117,
168,10428.049679084514,151.25376608251142,94.10016465032672,medical,120,168,20,20,20,20,110.804287451919,73.78223310024414,177.79937628979087,109.11549670945352,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,100,30,81.77338716384965,153.79441251669655,16.396681098975098,131.4746328945045,110,
67,11427.288658313766,66.71130772101763,26.16393214034045,police,60,67,20,20,20,20,110.804287451919,73.78223310024414,151.25376608251142,94.10016465032672,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,100,30,81.77338716384965,153.79441251669655,16.396681098975098,131.4746328945045,124,
480,11849.444116699751,172.81696829389645,148.25047574329778,fire,60,480,20,20,20,20,110.804287451919,73.78223310024414,151.25376608251142,94.10016465032672,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,66.71130772101763,26.16393214034045,81.77338716384965,153.79441251669655,16.396681098975098,131.4746328945045,130,
487,12574.930975710053,1.2767648881557792,27.498306099392032,medical,60,487,20,20,20,20,110.804287451919,73.78223310024414,172.81696829389645,148.25047574329778,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,66.71130772101763,26.16393214034045,81.77338716384965,153.79441251669655,16.396681098975098,131.4746328945045,141,
117,13033.77700025226,75.82077283762791,42.3320568422963,police,120,117,1.2767648881557792,27.498306099392032,20,20,110.804287451919,73.78223310024414,172.81696829389645,148.25047574329778,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,66.71130772101763,26.16393214034045,81.77338716384965,153.79441251669655,16.396681098975098,131.4746328945045,147,
417,13158.399444974675,181.03683819031937,45.13432925633276,fire,30,417,1.2767648881557792,27.498306099392032,20,20,110.804287451919,73.78223310024414,172.81696829389645,148.25047574329778,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,75.82077283762791,42.3320568422963,81.77338716384965,153.79441251669655,16.396681098975098,131.4746328945045,147,
175,14049.698929648055,103.68787849214576,124.52677452034226,police,300,175,1.2767648881557792,27.498306099392032,20,20,181.03683819031937,45.13432925633276,172.81696829389645,148.25047574329778,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,75.82077283762791,42.3320568422963,81.77338716384965,153.79441251669655,16.396681098975098,131.4746328945045,161,
489,15668.670822254491,127.54571835213112,186.7807442196002,police,300,489,1.2767648881557792,27.498306099392032,20,20,181.03683819031937,45.13432925633276,172.81696829389645,148.25047574329778,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,75.82077283762791,42.3320568422963,103.68787849214576,124.52677452034226,16.396681098975098,131.4746328945045,182,
232,15694.58311198499,55.17628817231737,193.64137518727736,police,60,232,1.2767648881557792,27.498306099392032,20,20,181.03683819031937,45.13432925633276,172.81696829389645,148.25047574329778,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,75.82077283762791,42.3320568422963,40.30045512376291,48.39992640648097,16.396681098975098,131.4746328945045,182,
109,16139.272183265315,166.57823386809753,77.89536253338825,medical,600,109,1.2767648881557792,27.498306099392032,20,20,181.03683819031937,45.13432925633276,172.81696829389645,148.25047574329778,34.276715044209524,99.9716786225584,50,100,176.13133455156472,115.13806936201604,150,120,113.59237373289908,21.4601381547076,75.82077283762791,42.3320568422963,127.54571835213112,186.7807442196002,55.17628817231737,193.64137518727736,190,
